Позиция,Частота
1,3955
2,4028
3,3944
4,4002
5,4033
6,4008
7,3950
8,3909
9,3989
10,4034
11,3994
12,4011
13,3955
14,3974
15,3943
16,4037
17,4070
18,3996
19,4073
20,3939
21,4016
22,3944
23,4016
24,4024
25,4014
26,3913
27,4039
28,4031
29,4025
30,4059
31,3932
32,4011
33,3987
34,4045
35,4035
36,4036
37,4000
38,4015
39,4072
40,4073
41,3994
42,4017
43,3921
44,3979
45,4029
46,4023
47,3970
48,3984
49,4006
50,3995
51,3989
52,4004
53,4031
54,4015
55,3993
56,3933
57,4055
58,3991
59,3953
60,3968
61,4028
62,4038
63,4003
64,3951
65,4074
66,3999
67,4082
68,3977
69,4058
70,3976
71,3984
72,4012
73,3987
74,3880
75,3947
76,4033
77,3997
78,3986
79,3958
80,3965
