Позиция,Частота
1,1293
2,1690
3,1986
4,1988
5,2122
6,1370
7,1757
8,2085
9,1843
10,1820
11,1410
12,1574
13,1875
14,1922
15,1952
16,1266
17,1545
18,2116
19,1883
20,1704
21,1264
22,1555
23,2123
24,1620
25,1942
26,1417
27,1575
28,1873
29,1681
30,1501
31,1390
32,1802
33,2079
34,1863
35,1942
36,1194
37,1656
38,2068
39,1755
40,1652
41,1282
42,1557
43,2139
44,2102
45,2476
46,1428
47,1597
48,2169
49,2062
50,2233
51,1372
52,1804
53,2133
54,1944
55,1831
56,1196
57,1766
58,2224
59,1841
60,1937
61,1293
62,1522
63,2230
64,1981
65,2401
66,1365
67,1801
68,2191
69,1877
70,1688
71,1441
72,1549
73,2064
74,2092
75,2379
76,1302
77,1451
78,1717
79,2070
80,2101
